,X,DOSE,DOSE_UNIT,RECOMP_DOSE
1,003017922030_2,0,fEg/kg,0
2,3017778030,0.8,fEg/mL,0.186339541
3,3017778029,0.8,fEg/mL,0.186339541
4,3017778028,0.16,fEg/mL,0.037267908
5,3017778027,0.16,fEg/mL,0.037267908
6,3017778024,0,fEg/mL,0
7,3017778023,0,fEg/mL,0
8,3017778022,0.8,fEg/mL,0.186339541
9,3017778021,0.8,fEg/mL,0.186339541
10,3017778020,0.16,fEg/mL,0.037267908
11,3017778019,0.16,fEg/mL,0.037267908
12,3017778016,0,fEg/mL,0
13,3017778015,0,fEg/mL,0
14,3017778014,0.8,fEg/mL,0.186339541
15,3017778013,0.8,fEg/mL,0.186339541
16,3017778012,0.16,fEg/mL,0.037267908
17,3017778011,0.16,fEg/mL,0.037267908
18,3017778008,0,fEg/mL,0
19,3017778007,0,fEg/mL,0
20,3017775024,50,ng/mL,0.001949774
21,3017775023,50,ng/mL,0.001949774
22,3017775022,10,ng/mL,0.000389955
23,3017775021,10,ng/mL,0.000389955
24,3017775020,2,ng/mL,7.80E-05
25,3017775019,2,ng/mL,7.80E-05
26,3017775018,0,ng/mL,0
27,3017775017,0,ng/mL,0
28,3017775016,50,ng/mL,0.001949774
29,3017775015,50,ng/mL,0.001949774
30,3017775014,10,ng/mL,0.000389955
31,3017775013,10,ng/mL,0.000389955
32,3017775012,2,ng/mL,7.80E-05
33,3017775011,2,ng/mL,7.80E-05
34,3017775010,0,ng/mL,0
35,3017775009,0,ng/mL,0
36,3017775008,50,ng/mL,0.001949774
37,3017775007,50,ng/mL,0.001949774
38,3017775006,10,ng/mL,0.000389955
39,3017775005,10,ng/mL,0.000389955
40,3017775004,2,ng/mL,7.80E-05
41,3017775003,2,ng/mL,7.80E-05
42,3017775002,0,ng/mL,0
43,3017775001,0,ng/mL,0
44,3017744008,100,fEg/mL,126.7629558
45,3017744007,100,fEg/mL,126.7629558
46,3017744006,20,fEg/mL,25.35259116
47,3017744005,20,fEg/mL,25.35259116
48,3017744004,4,fEg/mL,5.070518232
49,3017744003,4,fEg/mL,5.070518232
50,3017744002,0,fEg/mL,0
51,3017744001,0,fEg/mL,0
52,3017743006,100,fEg/mL,126.7629558
53,3017743005,100,fEg/mL,126.7629558
54,3017743004,20,fEg/mL,25.35259116
55,3017743003,20,fEg/mL,25.35259116
56,3017743002,4,fEg/mL,5.070518232
57,3017743001,4,fEg/mL,5.070518232
58,3017742006,0,fEg/mL,0
59,3017742005,0,fEg/mL,0
60,3017742004,100,fEg/mL,126.7629558
61,3017742003,100,fEg/mL,126.7629558
62,3017742002,20,fEg/mL,25.35259116
63,3017742001,20,fEg/mL,25.35259116
64,3017741006,4,fEg/mL,5.070518232
65,3017741005,4,fEg/mL,5.070518232
66,3017741004,0,fEg/mL,0
67,3017741003,0,fEg/mL,0
68,3017724006,50,fEg/mL,59.17488902
69,3017724005,50,fEg/mL,59.17488902
70,3017724004,10,fEg/mL,11.8349778
71,3017724003,10,fEg/mL,11.8349778
72,3017724002,2,fEg/mL,2.366995561
73,3017724001,2,fEg/mL,2.366995561
74,3017723030,0,fEg/mL,0
75,3017723029,0,fEg/mL,0
76,3017723028,50,fEg/mL,59.17488902
77,3017723027,50,fEg/mL,59.17488902
78,3017723026,10,fEg/mL,11.8349778
79,3017723025,10,fEg/mL,11.8349778
80,3017723024,2,fEg/mL,2.366995561
81,3017723023,2,fEg/mL,2.366995561
82,3017723022,0,fEg/mL,0
83,3017723021,0,fEg/mL,0
84,3017723020,50,fEg/mL,59.17488902
85,3017723019,50,fEg/mL,59.17488902
86,3017723018,10,fEg/mL,11.8349778
